time,counter,text
6:16PM,TGUAN-WA   ,"ANG POON KHIM (23,766 units Transferred) "
6:16PM,TGUAN-LA   ,"ANG POON KHIM (47,531 units Transferred) "
6:16PM,TGUAN-WA   ,"ANG POON CHUAN (23,766 units Transferred) "
6:16PM,DESTINI   ,"ROZABIL @ ROZAMUJIB BIN ABDUL RAHMAN (10,000,000 units Acquired) "
6:16PM,TGUAN-LA   ,"ANG POON CHUAN (47,531 units Transferred) "
6:14PM,SYCAL   ,NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) 
6:14PM,CARING   ,Resignation of TAN THIAM HOCK As Others 
6:13PM,LCTITAN-CD   ,Expiry/Maturity of the securities 
6:13PM,A50CHIN-H4   ,Expiry/Maturity of the securities 
6:13PM,DSONIC-CX   ,Expiry/Maturity of the securities 
6:13PM,MALAKOF-C1   ,Expiry/Maturity of the securities 
6:13PM,A50CHIN-H3   ,Expiry/Maturity of the securities 
6:13PM,SAPNRGC46   ,Expiry/Maturity of the securities 
6:13PM,A50CHIN-C9   ,Expiry/Maturity of the securities 
6:13PM,YTL-C11   ,Expiry/Maturity of the securities 
6:13PM,SUPERMX-C29   ,Expiry/Maturity of the securities 
6:13PM,LCTITAN-CE   ,Expiry/Maturity of the securities 
6:13PM,HSI-H2P   ,Expiry/Maturity of the securities 
6:13PM,ARMADA-C28   ,Expiry/Maturity of the securities 
6:13PM,FGV-C37   ,Expiry/Maturity of the securities 
6:13PM,LCTITAN-CC   ,Expiry/Maturity of the securities 
6:13PM,HSI-C1O   ,Expiry/Maturity of the securities 
6:13PM,UEMS-C47   ,Expiry/Maturity of the securities 
6:13PM,INARI-C3   ,Expiry/Maturity of the securities 
6:13PM,A50CHIN-C8   ,Expiry/Maturity of the securities 
6:13PM,HSI-H2Q   ,Expiry/Maturity of the securities 
6:13PM,HSI-C1N   ,Expiry/Maturity of the securities 
6:11PM,DESTINI   ,"ROZABIL @ ROZAMUJIB BIN ABDUL RAHMAN (10,000,000 units Acquired) "
6:09PM,POS   ,"EMPLOYEES PROVIDENT FUND BOARD (65,800 units Transacted) "
6:09PM,GENETEC   ,"CHEN KHAI VOON (60,000 units Disposed) "
6:08PM,GENETEC   ,"CHEN KHAI VOON (60,000 units Disposed) "
6:08PM,GENETEC   ,"KVC CORPORATION SDN BHD (60,000 units Disposed) "
6:08PM,DAIBOCI   ,"409,600 units of treasury shares sold "
6:07PM,ABMB   ,OTHERS 
6:07PM,ARREIT   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE 
6:07PM,ABMB   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) 
6:07PM,PETGAS-CO   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:07PM,GENM-C24   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:07PM,MUHIBAH-CD   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:06PM,IJM-C5   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:06PM,FBMKLCI-C3A   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:06PM,FBMKLCI-H4C   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:06PM,IHH-C3   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:05PM,SIME-C14   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:05PM,NEXGRAM   ,1Q net loss 2.338 million (increased 5.36%) 
6:05PM,HLBANK   ,"EMPLOYEES PROVIDENT FUND BOARD (365,300 units Acquired) "
6:05PM,UNIMECH   ,"25,400 shares purchased into treasury "
6:05PM,BAUTO-CR   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:05PM,GENTINGC42   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:04PM,INARI-CZ   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:04PM,TOPGLOV-C17   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:04PM,YTL-C8   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:03PM,SPSETIA-CW   ,STRUCTURED WARRANTS ANNOUNCEMENT 
6:03PM,PENTA   ,TRANSACTIONS (CHAPTER 10 OF LISTING REQUIREMENTS) 
6:03PM,PRG   ,"WANG JING (104,000 units Acquired) "
6:03PM,CANONE   ,Appointment of FOO KEE FATT As Others 
6:01PM,JHM   ,General Meetings: Notice of Meeting 
6:01PM,WPRTS   ,OTHERS 
6:00PM,SUNWAY   ,"322,900 shares purchased into treasury "
5:59PM,UMWOG-C18   ,STRUCTURED WARRANTS ANNOUNCEMENT 
5:59PM,MYEG-C19   ,STRUCTURED WARRANTS ANNOUNCEMENT 
5:59PM,AAX-C8   ,STRUCTURED WARRANTS ANNOUNCEMENT 
5:59PM,MRCB-C16   ,STRUCTURED WARRANTS ANNOUNCEMENT 
5:58PM,AIRASIAC56   ,STRUCTURED WARRANTS ANNOUNCEMENT 
5:58PM,AIRASIAC55   ,STRUCTURED WARRANTS ANNOUNCEMENT 
5:58PM,DRBHCOMC36   ,STRUCTURED WARRANTS ANNOUNCEMENT 
5:58PM,MILUX   ,Redesignation of HAJI MOHD ANUAR BIN HAJI MOHD HANADZLAH As Others 
5:58PM,MILUX   ,Redesignation of HO PUI HOLD As Others 
5:57PM,SCGM   ,"3,000 shares purchased into treasury "
5:56PM,TROP   ,TRANSACTIONS (CHAPTER 10 OF LISTING REQUIREMENTS) 
5:56PM,SKPRES   ,"KUMPULAN WANG PERSARAAN (DIPERBADANKAN) (5,750,500 units Transacted) "
5:54PM,GTRONIC   ,"WISERITE SDN BHD (116,000 units Transacted) "
5:53PM,GTRONIC   ,"MALAYSIAN TECHNOLOGY DEVELOPMENT SDN BHD (2,016,000 units Transacted) "
5:53PM,GTRONIC   ,"GENERAL PRODUCE AGENCY SDN BERHAD (2,016,000 units Transacted) "
5:53PM,GTRONIC   ,"GOOI MEI HOON (2,016,000 units Transacted) "
5:53PM,GTRONIC   ,"NG KWENG CHONG (2,016,000 units Transacted) "
5:53PM,GTRONIC   ,"WISERITE SDN BHD (1,900,000 units Disposed) "
5:53PM,GTRONIC   ,"NG KWENG CHONG HOLDINGS SENDIRIAN BERHAD (2,016,000 units Transacted) "
5:53PM,GTRONIC   ,"NG KWENG CHONG (2,016,000 units Transacted) "
5:53PM,DPHARMA   ,"YAYASAN PELABURAN BUMIPUTRA (130,745,066 units Acquired) "
5:53PM,DPHARMA   ,"PERMODALAN NASIONAL BERHAD (130,745,066 units Acquired) "
5:53PM,CANONE   ,Redesignation of RAZMI BIN ALIAS As Others 
5:52PM,NWP   ,OTHERS 
5:52PM,AXIATA   ,OTHERS 
5:51PM,PHB   ,Change of Address 
5:50PM,WPRTS   ,Resignation of TAI YIT CHAN As Joint Secretary 
5:50PM,WPRTS   ,Appointment of IZREEN FARA BINTI ISMAIL As Joint Secretary 
5:50PM,CANONE   ,Resignation of YEOH JIN BENG As Others 
5:49PM,MEDIA   ,"MORGAN STANLEY & CO. LLC (5,961,800 units Acquired) "
5:48PM,CANONE   ,Appointment of FOO KEE FATT As Others 
5:48PM,CNI   ,Appointment of YEE KEE BING As Others 
5:48PM,HTPADU   ,Resignation of MOHAMED ARIFFIN BIN ATON As Others 
5:47PM,WPRTS   ,Change in Nomination Committee 
5:47PM,YTLREIT   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE 
5:47PM,WPRTS   ,Change in Nomination Committee 
5:47PM,WPRTS   ,Change in Nomination Committee 
5:47PM,UEMS   ,OTHERS 
5:46PM,WPRTS   ,Change in Nomination Committee 
5:46PM,ORION   ,Resignation of MOHAMED RIDZUAN BIN NOR MD As Director 
5:44PM,TOPGLOV   ,"EMPLOYEES PROVIDENT FUND BOARD (736,600 units Acquired) "
5:44PM,TAANN   ,OTHERS 
5:44PM,PANSAR   ,"LING LEE CHUON @ JAMES LING CHUNG (53,000 units Acquired) "
5:43PM,IOIPG   ,"EMPLOYEES PROVIDENT FUND BOARD (25,000 units Acquired) "
5:43PM,EURO   ,MATERIAL LITIGATION 
5:42PM,SUNWAY   ,EMPLOYEES PROVIDENT FUND BOARD (88 units Acquired) 
5:42PM,SUNWAY   ,"EMPLOYEES PROVIDENT FUND BOARD (266,300 units Acquired) "
5:40PM,SUNSURIA   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) 
5:40PM,SUNSURIA   ,"TER LEONG YAP (45,000 units Acquired) "
5:40PM,TAANN   ,MONTHLY PRODUCTION FIGURES (MINING / PLANTATION / TIMBER) 
5:40PM,PESTECH   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) 
5:39PM,OCK   ,OTHERS 
5:39PM,OCK   ,First Interim Single Tier Dividend of 1.0 sen 
5:39PM,OPCOM   ,"LT JEN DATO' SERI PANGLIMA ZAINI BIN HJ MOHD SAID SP (B) (20,000 units Acquired) "
5:39PM,WPRTS   ,Appointment of CHAN CHU WEI As Others 
5:38PM,WPRTS   ,Cessation of JEYAKUMAR PALAKRISHNAR As Others 
5:38PM,PCHEM   ,Change in Nomination Committee 
5:38PM,PRLEXUS   ,General Meetings: Outcome of Meeting 
5:38PM,SCGM   ,"KUMPULAN WANG PERSARAAN (DIPERBADANKAN) (300,000 units Acquired) "
5:38PM,PESTECH   ,"LIM PAY CHUAN (1,930,000 units Disposed) "
5:38PM,PESTECH   ,"LIM PAY CHUAN (1,930,000 units Disposed) "
5:38PM,PCHEM   ,Change in Nomination Committee 
5:38PM,CAB   ,OTHERS 
5:38PM,CAB   ,MEMORANDUM OF UNDERSTANDING 
5:38PM,PRLEXUS   ,General Meetings: Outcome of Meeting 
5:38PM,PRLEXUS   ,1Q net profit 3.270 million (decreased 56.25%) 
5:37PM,SCBUILD   ,OTHERS 
5:37PM,GENETEC   ,NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) 
5:37PM,CAB   ,MEMORANDUM OF UNDERSTANDING 
5:37PM,PCHEM   ,EMPLOYEES PROVIDENT FUND BOARD (EPF BOARD) (2854700 units Transacted) 
5:37PM,SEEHUP   ,A1 CAPITAL SDN BHD 
5:36PM,FGV   ,Appointment of NESADURAI KALANITHI As Director 
5:36PM,OPCOM   ,"CHHOA KWANG HUA (15,000 units Acquired) "
5:36PM,FGV   ,Resignation of ABD RASHID BIN ATAN As Joint Secretary 
5:36PM,GLOMAC   ,"10,000 shares purchased into treasury "
5:36PM,OPCOM   ,"MUKHRIZ MAHATHIR (211,400 units Disposed) "
5:35PM,HLT-WA   ,Profile for Securities of PLC 
5:35PM,CBIP   ,SECOND INTERIM SINGLE TIER DIVIDEND OF MYR0.03 
5:35PM,SEEHUP   ,"LEE CHOR MIN (100,000 units Transacted) "
5:34PM,ATLAN   ,TRANSACTIONS (CHAPTER 10 OF LISTING REQUIREMENTS) 
5:34PM,GRANFLO   ,"60,000 shares purchased into treasury "
5:33PM,PETONE   ,OTHERS 
5:33PM,ADVENTA   ,Financial year end net profit 0.140 million (decreased 79.53%) 
5:33PM,CYPARK   ,Financial year end net profit 57.603 million (increased 11.39%) 
5:33PM,HLT   ,NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) 
5:33PM,DRBHCOM   ,"EMPLOYEES PROVIDENT FUND BOARD (758,500 units Acquired) "
5:32PM,WPRTS   ,Appointment of CHAN SOO CHEE As Others 
5:32PM,HHGROUP   ,OTHERS 
5:32PM,HHGROUP   ,OTHERS 
5:32PM,WPRTS   ,Resignation of JOHN STEPHEN ASHWORTH As Alternate Director 
5:31PM,WPRTS   ,Resignation of JEYAKUMAR A/L T PALAKRISHNAR As Others 
5:31PM,SEEHUP   ,"LEE PHAY CHIAN (22,000 units Transacted) "
5:31PM,HLT   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) 
5:31PM,AXREIT   ,Redesignation of TUNKU DATO' SERI SHAHABUDDIN BIN TUNKU BESAR BURHANUDDIN As Others 
5:31PM,AXREIT   ,Redesignation of MOHD SHARIF BIN HJ YUSOF As Others 
5:30PM,AXREIT   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE 
5:30PM,AXREIT   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) 
5:30PM,YONGTAI   ,MULTIPLE PROPOSALS 
5:30PM,SAUDEE   ,"18,000 shares purchased into treasury "
5:30PM,SEEHUP   ,"LEE HEAN GUAN (3,004,832 units Transacted) "
5:29PM,PBBANK   ,"EMPLOYEES PROVIDENT FUND BOARD (1,771,500 units Transacted) "
5:29PM,CWG   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) 
5:29PM,CWG   ,"KHOR SAY BENG (1,853,650 units Transacted) "
5:29PM,CWG   ,"KHOR SAY BENG (2,152,100 units Transacted) "
5:28PM,ESCERAM   ,MATERIAL LITIGATION 
5:28PM,HLT   ,"YAU MING TECK (4,168,800 units Transacted) "
5:28PM,SEACERA   ,"MANSOR BIN MASIKON (399,700 units Acquired) "
5:28PM,SEACERA   ,"ZULKARNIN BIN ARRIFIN (337,300 units Acquired) "
5:28PM,SPSETIA   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) 
5:27PM,JFTECH   ,NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) 
5:27PM,DIALOG   ,"EMPLOYEES PROVIDENT FUND BOARD (1,307,500 units Transacted) "
5:27PM,SPSETIA   ,"KUMPULAN WANG PERSARAAN (DIPERBADANKAN) (223,000 units Acquired) "
5:27PM,MAHSING   ,EMPLOYEES PROVIDENT FUND BOARD (EPF) (1000000 units Acquired) 
5:27PM,VSTECS   ,Redesignation of FOO SEN CHIN As Others 
5:27PM,SEACERA   ,"NOBLE SUMMER SDN. BHD. (399,700 units Acquired) "
5:27PM,SEACERA   ,"ZULKARNIN BIN ARIFFIN (337,300 units Acquired) "
5:27PM,SEACERA   ,"MANSOR BIN MASIKON (399,700 units Acquired) "
5:26PM,MMCCORP   ,OTHERS 
5:26PM,HLT   ,"YAU MING TECK (2,779,200 units Transacted) "
5:26PM,BAUTO   ,"KUMPULAN WANG PERSARAAN (DIPERBADANKAN) (279,700 units Acquired) "
5:26PM,SEEHUP   ,"LEE HEAN HUAT (750,000 units Transacted) "
5:25PM,UEMS   ,"LEMBAGA TABUNG HAJI (240,000 units Acquired) "
5:24PM,CMMT   ,Resignation of JASON LEOW JUAN THONG As Director 
5:24PM,MBWORLD   ,Nine-month net profit 19.607 million (increased 144.26%) 
5:24PM,HLT   ,"WONG KOON WAI (135,000 units Transacted) "
5:23PM,BAHVEST   ,WINDING UP / RECEIVER & MANAGER / RESTRAINING ORDER / SPECIAL ADMINISTRATOR 
5:23PM,K1   ,OTHERS 
5:23PM,E&O   ,"100,000 shares purchased into treasury "
5:23PM,HLT   ,"WONG KOON WAI (90,000 units Transacted) "
5:22PM,MPCORP   ,PRACTICE NOTE 17 / GUIDANCE NOTE 3 
5:22PM,FIHB   ,"41,200 shares purchased into treasury "
5:21PM,PARAMON   ,INCORPORATION OF A WHOLLY-OWNED SUBSIDIARY - PARAMOUNT CAPITAL RESOURCES 
5:21PM,OMESTI   ,EMPLOYEES' SHARE GRANT PLAN PURSUANT TO THE LONG-TERM INCENTIVE PLAN 
5:21PM,CMMT   ,Appointment of (TA) TAY BOON HWEE As Director 
5:21PM,HLT   ,"WONG WAI TZING (172,500 units Transacted) "
5:21PM,SUNREIT   ,TRANSACTIONS (CHAPTER 10 OF LISTING REQUIREMENTS) 
5:21PM,DYNACIA   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) 
5:21PM,IHH   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) 
5:21PM,KOSSAN   ,"EMPLOYEES PROVIDENT FUND BOARD (412,200 units Acquired) "
5:21PM,PENTA   ,"KUMPULAN WANG PERSARAAN (DIPERBADANKAN) (498,900 units Acquired) "
5:21PM,ASIAFLE   ,"AMANAHRAYA TRUSTEES BERHAD-AMANAH SAHAM BUMIPUTERA (250,000 units Disposed) "
5:20PM,CMMT   ,OTHERS 
5:20PM,OCNCASH   ,TRANSACTIONS (CHAPTER 10 OF LISTING REQUIREMENTS) (Amended) 
5:20PM,GLBHD   ,Resignation of LIM WAI WENG As Others 
5:20PM,TCHONG   ,Others of KHOR SWEE WAH @ KOH BEE LENG As Executive Director 
5:20PM,BAUTO   ,"EMPLOYEES PROVIDENT FUND BOARD (1,980,700 units Transacted) "
5:19PM,SYCAL   ,"ACE CREDIT (M) SDN BHD (11,000 units Disposed) "
5:19PM,IHH   ,"EMPLOYEES PROVIDENT FUND BOARD (1,106,800 units Transacted) "
5:19PM,HLT   ,"WONG WAI TZING (115,000 units Transacted) "
5:19PM,SYCAL   ,"WEST EMERALD ISLE SDN BHD (27,000,000 units Acquired) "
5:19PM,EDEN   ,Change in Nomination Committee 
5:19PM,EDEN   ,Resignation of FAKHRI YASSIN BIN MAHIADDIN As Others 
5:18PM,IGBB-PA   ,Dividend of 2% (based on the issue price of RM1.00) per RCPS 
5:18PM,EDEN   ,Resignation of FAKHRI YASSIN BIN MAHIADDIN As Director 
5:18PM,UMW   ,OTHERS 
5:17PM,UMW   ,Appointment of LIM TZE SEONG As Director 
5:17PM,UMW   ,Resignation of ROHAYA BINTI MOHAMMAD YUSOF As Director 
5:17PM,SUNREIT   ,"AMANAHRAYA TRUSTEES BERHAD - AMANAH SAHAM BUMIPUTERA (1,080,100 units Disposed) "
5:17PM,SUNREIT   ,"EMPLOYEES PROVIDENT FUND BOARD (1,538,700 units Acquired) "
5:17PM,HLT   ,"CHAN YOKE CHUN (138,856,950 units Transacted) "
5:17PM,MFCB   ,Appointment of FOO WEN YUNN As Others 
5:17PM,MFCB   ,Retirement of YONG LAI SIM As Others 
5:17PM,NGGB   ,OTHERS 
5:17PM,SMTRACK   ,1Q net profit 0.240 million 
5:17PM,INIX   ,1Q net loss 0.740 million (decreased 72.47%) 
5:17PM,ASDION   ,"TEY POR CHEN (56,900 units Disposed) "
5:17PM,SIMEPROP   ,"AMANAHRAYA TRUSTEES BERHAD - AMANAH SAHAM BUMIPUTERA (1,800,000 units Acquired) "
5:16PM,CHEETAH   ,"LEMBAGA TABUNG HAJI (5,500,000 units Disposed) "
5:16PM,UMW   ,"KUMPULAN WANG PERSARAAN (DIPERBADANKAN) (KWAP) (120,000 units Disposed) "
5:16PM,UMW   ,Resignation of FADZILAH BINTI SAMION As Others 
5:16PM,GLBHD   ,Resignation of LIM WAI WENG As Joint Secretary 
5:16PM,UMW   ,Appointment of MOHD NOR AZAM BIN MOHD SALLEH As Others 
5:15PM,JIANKUN   ,NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) 
5:15PM,ATRIUM   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE 
5:14PM,HLT   ,"CHAN YOKE CHUN (92,571,300 units Transacted) "
5:14PM,INARI   ,"KUMPULAN WANG PERSARAAN (DIPERBADANKAN) (1,906,400 units Transacted) "
5:14PM,INARI   ,"EMPLOYEES PROVIDENT FUND BOARD (603,500 units Transacted) "
5:14PM,MISC   ,"EMPLOYEES PROVIDENT FUND BOARD (96,200 units Acquired) "
5:14PM,CIMB   ,"KUMPULAN WANG PERSARAAN (DIPERBADANKAN) (2,000,000 units Disposed) "
5:14PM,CIMB   ,"EMPLOYEES PROVIDENT FUND BOARD (571,100 units Transacted) "
5:14PM,CIMB   ,"KUMPULAN WANG PERSARAAN (DIPERBADANKAN) (1,000,000 units Disposed) "
5:14PM,CIMB   ,"EMPLOYEES PROVIDENT FUND BOARD (2,583,900 units Transacted) "
5:14PM,CIMB   ,"KUMPULAN WANG PERSARAAN (DIPERBADANKAN) (482,800 units Transacted) "
5:14PM,CIMB   ,"EMPLOYEES PROVIDENT FUND BOARD (8,131,000 units Transacted) "
5:13PM,SCICOM   ,"EMPLOYEES PROVIDENT FUND BOARD (35,000 units Acquired) "
5:13PM,MISC   ,"EMPLOYEES PROVIDENT FUND BOARD (420,000 units Acquired) "
5:13PM,AJIYA   ,"900,000 shares purchased into treasury "
5:13PM,PARLO   ,PRACTICE NOTE 17 / GUIDANCE NOTE 3 
5:13PM,SAPNRG   ,"EMPLOYEES PROVIDENT FUND BOARD (1,481,100 units Disposed) "
5:13PM,BSTEAD   ,"LEMBAGA TABUNG ANGKATAN TENTERA (465,000 units Acquired) "
5:12PM,GENTING   ,OTHERS 
5:12PM,MISC   ,"EMPLOYEES PROVIDENT FUND BOARD (368,800 units Acquired) "
5:12PM,IGBB-PA   ,OTHERS 
5:12PM,SHANG   ,"ABERDEEN ASSET MANAGEMENT ASIA LIMITED (4,200 units Disposed) "
5:12PM,HLT   ,"CHAN YOKE CHUN (92,571,300 units Transacted) "
5:12PM,SHANG   ,"STANDARD LIFE ABERDEEN PLC (8,400 units Disposed) "
5:12PM,ALAQAR   ,OTHERS 
5:12PM,NETX   ,NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) 
5:12PM,KAB   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) 
5:12PM,MISC   ,"EMPLOYEES PROVIDENT FUND BOARD (117,900 units Acquired) "
5:12PM,KAB   ,"TONG SIUT MOI (100,000 units Disposed) "
5:11PM,MINDA   ,MULTIPLE PROPOSALS 
5:11PM,THPLANT   ,"EMPLOYEES PROVIDENT FUND BOARD (199,300 units Acquired) "
5:11PM,MAYBANK   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) 
5:11PM,SINOTOP   ,Current Stock Name : SINOTOP 
5:11PM,MNRB   ,Appointment of GEORGE A/L OOMMEN As Others 
5:11PM,MSM   ,"EMPLOYEES PROVIDENT FUND BOARD (22,800 units Acquired) "
5:11PM,HSPLANT   ,"LEMBAGA TABUNG HAJI (110,800 units Acquired) "
5:10PM,MFLOUR   ,Appointment of LIM PANG BOON As Executive Director 
5:10PM,MNRB   ,"AMANAHRAYA TRUSTEES BERHAD - AMANAH SAHAM BUMIPUTERA (99,000 units Disposed) "
