time,counter,text,clean,sentiment,polarity
6:17PM,AIRASIA   ,TRANSACTIONS (CHAPTER 10 OF LISTING REQUIREMENTS) ,TRANSACTIONS CHAPTER LISTING REQUIREMENTS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:47PM,AIRASIAC50   ,STRUCTURED WARRANTS ANNOUNCEMENT ,STRUCTURED WARRANTS ANNOUNCEMENT,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:58PM,AIRASIAC55   ,STRUCTURED WARRANTS ANNOUNCEMENT ,STRUCTURED WARRANTS ANNOUNCEMENT,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:58PM,AIRASIAC56   ,STRUCTURED WARRANTS ANNOUNCEMENT ,STRUCTURED WARRANTS ANNOUNCEMENT,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:05PM,AIRPORT   ,"EMPLOYEES PROVIDENT FUND BOARD (1,960,700 units Transacted) ",EMPLOYEES PROVIDENT FUND BOARD units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:13PM,AJIYA   ,"900,000 shares purchased into treasury ",shares purchased into treasury,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:12PM,ALAQAR   ,OTHERS ,OTHERS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:08PM,AMBANK   ,OTHERS ,OTHERS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
12:38PM,ANCOM   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) ,DEALINGS LISTED SECURITIES CHAPTER LISTING REQUIREMENTS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:04PM,ANNJOO-CE   ,Expiry/Maturity of the securities ,Expiry Maturity securities,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:44PM,APFT   ,OTHERS ,OTHERS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:44PM,APFT   ,Appointment of AHMAD SAID BIN HAMDAN As Director ,Appointment AHMAD SAID HAMDAN Director,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:43PM,APFT   ,Change in Nomination Committee ,Change Nomination Committee,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:43PM,APFT   ,Resignation of TAN NYAP KEONG @ TONY TAN As Others ,Resignation NYAP KEONG TONY Others,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:43PM,APFT   ,Change in Nomination Committee ,Change Nomination Committee,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:43PM,APFT   ,Resignation of TAN NYAP KEONG @ TONY TAN As Director ,Resignation NYAP KEONG TONY Director,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:43PM,APFT   ,Appointment of AHMAD SAID BIN HAMDAN As Others ,Appointment AHMAD SAID HAMDAN Others,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:08PM,ARMADA   ,"EMPLOYEES PROVIDENT FUND BOARD (118,700 units Acquired) ",EMPLOYEES PROVIDENT FUND BOARD units Acquired,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:08PM,ARMADA   ,"AMANAHRAYA TRUSTEES BERHAD - AMANAH SAHAM BUMIPUTERA (5,000,000 units Disposed) ",AMANAHRAYA TRUSTEES BERHAD AMANAH SAHAM BUMIPUTERA units Disposed,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:13PM,ARMADA-C28   ,Expiry/Maturity of the securities ,Expiry Maturity securities,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:07PM,ARREIT   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE ,ASSET VALUE INDICATIVE OPTIMUM PORTFOLIO VALUE,"Sentiment(polarity=0.7, subjectivity=0.9)",1
5:17PM,ASDION   ,"TEY POR CHEN (56,900 units Disposed) ",CHEN units Disposed,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:21PM,ASIAFLE   ,"AMANAHRAYA TRUSTEES BERHAD-AMANAH SAHAM BUMIPUTERA (250,000 units Disposed) ",AMANAHRAYA TRUSTEES BERHAD AMANAH SAHAM BUMIPUTERA units Disposed,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:07PM,ASIAPLY   ,MULTIPLE PROPOSALS ,MULTIPLE PROPOSALS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:09PM,ASTRO   ,"EMPLOYEES PROVIDENT FUND BOARD (EPF) (925,300 units Acquired) ",EMPLOYEES PROVIDENT FUND BOARD units Acquired,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:34PM,ATLAN   ,TRANSACTIONS (CHAPTER 10 OF LISTING REQUIREMENTS) ,TRANSACTIONS CHAPTER LISTING REQUIREMENTS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:15PM,ATRIUM   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE ,ASSET VALUE INDICATIVE OPTIMUM PORTFOLIO VALUE,"Sentiment(polarity=0.7, subjectivity=0.9)",1
5:52PM,AXIATA   ,OTHERS ,OTHERS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
1:55PM,AXIATA   ,"EMPLOYEES PROVIDENT FUND BOARD (5,820,400 units Acquired) ",EMPLOYEES PROVIDENT FUND BOARD units Acquired,"Sentiment(polarity=0.0, subjectivity=0.0)",0
1:48PM,AXIATA   ,"EMPLOYEES PROVIDENT FUND BOARD (7,597,900 units Transacted) ",EMPLOYEES PROVIDENT FUND BOARD units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
1:44PM,AXIATA   ,"EMPLOYEES PROVIDENT FUND BOARD (3,055,515 units Acquired) ",EMPLOYEES PROVIDENT FUND BOARD units Acquired,"Sentiment(polarity=0.0, subjectivity=0.0)",0
1:27PM,AXIATA   ,"EMPLOYEES PROVIDENT FUND BOARD (467,300 units Acquired) ",EMPLOYEES PROVIDENT FUND BOARD units Acquired,"Sentiment(polarity=0.0, subjectivity=0.0)",0
1:23PM,AXIATA   ,"EMPLOYEES PROVIDENT FUND BOARD (3,351,700 units Acquired) ",EMPLOYEES PROVIDENT FUND BOARD units Acquired,"Sentiment(polarity=0.0, subjectivity=0.0)",0
1:17PM,AXIATA   ,"EMPLOYEES PROVIDENT FUND BOARD (2,900,000 units Acquired) ",EMPLOYEES PROVIDENT FUND BOARD units Acquired,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:31PM,AXREIT   ,Redesignation of TUNKU DATO' SERI SHAHABUDDIN BIN TUNKU BESAR BURHANUDDIN As Others ,Redesignation TUNKU DATO SERI SHAHABUDDIN TUNKU BESAR BURHANUDDIN Others,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:31PM,AXREIT   ,Redesignation of MOHD SHARIF BIN HJ YUSOF As Others ,Redesignation MOHD SHARIF YUSOF Others,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:30PM,AXREIT   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE ,ASSET VALUE INDICATIVE OPTIMUM PORTFOLIO VALUE,"Sentiment(polarity=0.7, subjectivity=0.9)",1
5:30PM,AXREIT   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) ,DEALINGS LISTED SECURITIES CHAPTER LISTING REQUIREMENTS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:23PM,BAHVEST   ,WINDING UP / RECEIVER & MANAGER / RESTRAINING ORDER / SPECIAL ADMINISTRATOR ,WINDING RECEIVER MANAGER RESTRAINING ORDER SPECIAL ADMINISTRATOR,"Sentiment(polarity=0.35714285714285715, subjectivity=0.5714285714285714)",1
5:26PM,BAUTO   ,"KUMPULAN WANG PERSARAAN (DIPERBADANKAN) (279,700 units Acquired) ",KUMPULAN WANG PERSARAAN DIPERBADANKAN units Acquired,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:20PM,BAUTO   ,"EMPLOYEES PROVIDENT FUND BOARD (1,980,700 units Transacted) ",EMPLOYEES PROVIDENT FUND BOARD units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:05PM,BAUTO-CR   ,STRUCTURED WARRANTS ANNOUNCEMENT ,STRUCTURED WARRANTS ANNOUNCEMENT,"Sentiment(polarity=0.0, subjectivity=0.0)",0
7:10PM,BIMB   ,"EMPLOYEES PROVIDENT FUND BOARD (1,000,000 units Acquired) ",EMPLOYEES PROVIDENT FUND BOARD units Acquired,"Sentiment(polarity=0.0, subjectivity=0.0)",0
10:19AM,BINACOM   ,1Q net profit 1.603 million ,profit million,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:48PM,BIOHLDG   ,"HON TIAN KOK@WILLIAM (500,000 units Acquired) ",TIAN units Acquired,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:46PM,BIOHLDG   ,"HON TIAN KOK @ WILLIAM (500,000 units Acquired) ",TIAN WILLIAM units Acquired,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:55PM,BORNOIL   ,Nine-month net profit 11.713 million (decreased 68.07%) ,Nine month profit million decreased,"Sentiment(polarity=-0.4, subjectivity=0.7)",-1
5:13PM,BSTEAD   ,"LEMBAGA TABUNG ANGKATAN TENTERA (465,000 units Acquired) ",LEMBAGA TABUNG ANGKATAN TENTERA units Acquired,"Sentiment(polarity=0.0, subjectivity=0.0)",0
1:08PM,BTM   ,NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) ,ISSUE SECURITIES CHAPTER LISTING REQUIREMENTS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:38PM,CAB   ,OTHERS ,OTHERS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:38PM,CAB   ,MEMORANDUM OF UNDERSTANDING ,MEMORANDUM UNDERSTANDING,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:37PM,CAB   ,MEMORANDUM OF UNDERSTANDING ,MEMORANDUM UNDERSTANDING,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:03PM,CANONE   ,Appointment of FOO KEE FATT As Others ,Appointment FATT Others,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:53PM,CANONE   ,Redesignation of RAZMI BIN ALIAS As Others ,Redesignation RAZMI ALIAS Others,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:50PM,CANONE   ,Resignation of YEOH JIN BENG As Others ,Resignation YEOH BENG Others,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:48PM,CANONE   ,Appointment of FOO KEE FATT As Others ,Appointment FATT Others,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:14PM,CARING   ,Resignation of TAN THIAM HOCK As Others ,Resignation THIAM HOCK Others,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:35PM,CBIP   ,SECOND INTERIM SINGLE TIER DIVIDEND OF MYR0.03 ,SECOND INTERIM SINGLE TIER DIVIDEND,"Sentiment(polarity=-0.03571428571428571, subjectivity=0.10714285714285714)",-1
5:16PM,CHEETAH   ,"LEMBAGA TABUNG HAJI (5,500,000 units Disposed) ",LEMBAGA TABUNG HAJI units Disposed,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:14PM,CIMB   ,"KUMPULAN WANG PERSARAAN (DIPERBADANKAN) (2,000,000 units Disposed) ",KUMPULAN WANG PERSARAAN DIPERBADANKAN units Disposed,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:14PM,CIMB   ,"EMPLOYEES PROVIDENT FUND BOARD (571,100 units Transacted) ",EMPLOYEES PROVIDENT FUND BOARD units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:14PM,CIMB   ,"KUMPULAN WANG PERSARAAN (DIPERBADANKAN) (1,000,000 units Disposed) ",KUMPULAN WANG PERSARAAN DIPERBADANKAN units Disposed,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:14PM,CIMB   ,"EMPLOYEES PROVIDENT FUND BOARD (2,583,900 units Transacted) ",EMPLOYEES PROVIDENT FUND BOARD units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:14PM,CIMB   ,"KUMPULAN WANG PERSARAAN (DIPERBADANKAN) (482,800 units Transacted) ",KUMPULAN WANG PERSARAAN DIPERBADANKAN units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:14PM,CIMB   ,"EMPLOYEES PROVIDENT FUND BOARD (8,131,000 units Transacted) ",EMPLOYEES PROVIDENT FUND BOARD units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:04PM,CIMB-C23   ,Expiry/Maturity of the securities ,Expiry Maturity securities,"Sentiment(polarity=0.0, subjectivity=0.0)",0
7:06PM,CIMBA40   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE ,ASSET VALUE INDICATIVE OPTIMUM PORTFOLIO VALUE,"Sentiment(polarity=0.7, subjectivity=0.9)",1
1:15PM,CIMBA40   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE ,ASSET VALUE INDICATIVE OPTIMUM PORTFOLIO VALUE,"Sentiment(polarity=0.7, subjectivity=0.9)",1
7:05PM,CIMBC50   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE ,ASSET VALUE INDICATIVE OPTIMUM PORTFOLIO VALUE,"Sentiment(polarity=0.7, subjectivity=0.9)",1
1:15PM,CIMBC50   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE ,ASSET VALUE INDICATIVE OPTIMUM PORTFOLIO VALUE,"Sentiment(polarity=0.7, subjectivity=0.9)",1
5:24PM,CMMT   ,Resignation of JASON LEOW JUAN THONG As Director ,Resignation JASON LEOW JUAN THONG Director,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:21PM,CMMT   ,Appointment of (TA) TAY BOON HWEE As Director ,Appointment BOON HWEE Director,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:20PM,CMMT   ,OTHERS ,OTHERS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
12:53PM,CMSB   ,Redesignation of RICHARD ALEXANDER JOHN CURTIS As Others ,Redesignation RICHARD ALEXANDER JOHN CURTIS Others,"Sentiment(polarity=0.0, subjectivity=0.0)",0
12:53PM,CMSB   ,Others of GOH CHII BING As Others ,Others CHII BING Others,"Sentiment(polarity=0.0, subjectivity=0.0)",0
12:52PM,CMSB   ,Others of ISAAC LUGUN As Others ,Others ISAAC LUGUN Others,"Sentiment(polarity=0.0, subjectivity=0.0)",0
12:52PM,CMSB   ,MEDIA RELEASE DATED ,MEDIA RELEASE DATED,"Sentiment(polarity=0.0, subjectivity=0.0)",0
12:35PM,CMSB   ,"DATO SRI MAHMUD ABU BEKIR TAIB (681,700 units Disposed) ",DATO MAHMUD BEKIR TAIB units Disposed,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:48PM,CNI   ,Appointment of YEE KEE BING As Others ,Appointment BING Others,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:29PM,CWG   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) ,DEALINGS LISTED SECURITIES CHAPTER LISTING REQUIREMENTS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:29PM,CWG   ,"KHOR SAY BENG (1,853,650 units Transacted) ",KHOR BENG units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:29PM,CWG   ,"KHOR SAY BENG (2,152,100 units Transacted) ",KHOR BENG units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:33PM,CYPARK   ,Financial year end net profit 57.603 million (increased 11.39%) ,Financial year profit million increased,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:08PM,DAIBOCI   ,"409,600 units of treasury shares sold ",units treasury shares sold,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:03PM,DBE   ,TRANSACTIONS (CHAPTER 10 OF LISTING REQUIREMENTS) ,TRANSACTIONS CHAPTER LISTING REQUIREMENTS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:45PM,DESTINI   ,TRANSACTIONS (CHAPTER 10 OF LISTING REQUIREMENTS) ,TRANSACTIONS CHAPTER LISTING REQUIREMENTS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:16PM,DESTINI   ,"ROZABIL @ ROZAMUJIB BIN ABDUL RAHMAN (10,000,000 units Acquired) ",ROZABIL ROZAMUJIB ABDUL RAHMAN units Acquired,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:11PM,DESTINI   ,"ROZABIL @ ROZAMUJIB BIN ABDUL RAHMAN (10,000,000 units Acquired) ",ROZABIL ROZAMUJIB ABDUL RAHMAN units Acquired,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:27PM,DIALOG   ,"EMPLOYEES PROVIDENT FUND BOARD (1,307,500 units Transacted) ",EMPLOYEES PROVIDENT FUND BOARD units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
12:42PM,DIGI   ,"EMPLOYEES PROVIDENT FUND BOARD (3,510,000 units Transacted) ",EMPLOYEES PROVIDENT FUND BOARD units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
9:44AM,DNONCE   ,Additional Listing Announcement ,Additional Listing Announcement,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:53PM,DPHARMA   ,"YAYASAN PELABURAN BUMIPUTRA (130,745,066 units Acquired) ",YAYASAN PELABURAN BUMIPUTRA units Acquired,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:53PM,DPHARMA   ,"PERMODALAN NASIONAL BERHAD (130,745,066 units Acquired) ",PERMODALAN NASIONAL BERHAD units Acquired,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:33PM,DRBHCOM   ,"EMPLOYEES PROVIDENT FUND BOARD (758,500 units Acquired) ",EMPLOYEES PROVIDENT FUND BOARD units Acquired,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:58PM,DRBHCOMC36   ,STRUCTURED WARRANTS ANNOUNCEMENT ,STRUCTURED WARRANTS ANNOUNCEMENT,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:13PM,DSONIC-CX   ,Expiry/Maturity of the securities ,Expiry Maturity securities,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:21PM,DYNACIA   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) ,DEALINGS LISTED SECURITIES CHAPTER LISTING REQUIREMENTS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:23PM,E&O   ,"100,000 shares purchased into treasury ",shares purchased into treasury,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:19PM,ECONBHD   ,"ONG POAY WAH@CHAN POAY WAH (900,000 units Transacted) ",POAY POAY units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:19PM,ECONBHD   ,"ROSLI BIN MOHAMED NOR (187,500 units Transacted) ",ROSLI MOHAMED units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:17PM,ECONBHD   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) ,DEALINGS LISTED SECURITIES CHAPTER LISTING REQUIREMENTS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:17PM,ECONBHD   ,"THE CHENG ENG (218,928,013 units Transacted) ",CHENG units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:17PM,ECONBHD   ,"PANG SAR (175,200,007 units Transacted) ",PANG units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:17PM,ECONBHD   ,"KRISHNAN A/L C K MENON (150,000 units Transacted) ",KRISHNAN MENON units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:17PM,ECONBHD   ,"PANG SAR (175,200,007 units Transacted) ",PANG units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:17PM,ECONBHD   ,"THE KUN ANN (150,000 units Transacted) ",units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:17PM,ECONBHD   ,"THE CHENG ENG (218,928,013 units Transacted) ",CHENG units Transacted,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:19PM,EDEN   ,Change in Nomination Committee ,Change Nomination Committee,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:19PM,EDEN   ,Resignation of FAKHRI YASSIN BIN MAHIADDIN As Others ,Resignation FAKHRI YASSIN MAHIADDIN Others,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:18PM,EDEN   ,Resignation of FAKHRI YASSIN BIN MAHIADDIN As Director ,Resignation FAKHRI YASSIN MAHIADDIN Director,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:18PM,ELSOFT   ,Appointment of AGATHA FOO TET SIN As Others ,Appointment AGATHA Others,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:28PM,ESCERAM   ,MATERIAL LITIGATION ,MATERIAL LITIGATION,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:43PM,EURO   ,MATERIAL LITIGATION ,MATERIAL LITIGATION,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:44PM,EWINT-CA   ,Expiry/Maturity of the securities ,Expiry Maturity securities,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:44PM,EWINT-CB   ,Expiry/Maturity of the securities ,Expiry Maturity securities,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:44PM,EWINT-CC   ,Expiry/Maturity of the securities ,Expiry Maturity securities,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:44PM,EWINT-CD   ,Expiry/Maturity of the securities ,Expiry Maturity securities,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:47PM,FBMKLCI-C1S   ,STRUCTURED WARRANTS ANNOUNCEMENT ,STRUCTURED WARRANTS ANNOUNCEMENT,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:48PM,FBMKLCI-C1T   ,STRUCTURED WARRANTS ANNOUNCEMENT ,STRUCTURED WARRANTS ANNOUNCEMENT,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:06PM,FBMKLCI-C3A   ,STRUCTURED WARRANTS ANNOUNCEMENT ,STRUCTURED WARRANTS ANNOUNCEMENT,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:46PM,FBMKLCI-EA   ,NET ASSET VALUE / INDICATIVE OPTIMUM PORTFOLIO VALUE ,ASSET VALUE INDICATIVE OPTIMUM PORTFOLIO VALUE,"Sentiment(polarity=0.7, subjectivity=0.9)",1
6:45PM,FBMKLCI-H2U   ,STRUCTURED WARRANTS ANNOUNCEMENT ,STRUCTURED WARRANTS ANNOUNCEMENT,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:47PM,FBMKLCI-H2V   ,STRUCTURED WARRANTS ANNOUNCEMENT ,STRUCTURED WARRANTS ANNOUNCEMENT,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:06PM,FBMKLCI-H4C   ,STRUCTURED WARRANTS ANNOUNCEMENT ,STRUCTURED WARRANTS ANNOUNCEMENT,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:31PM,FGV   ,OTHERS ,OTHERS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:36PM,FGV   ,Appointment of NESADURAI KALANITHI As Director ,Appointment NESADURAI KALANITHI Director,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:36PM,FGV   ,Resignation of ABD RASHID BIN ATAN As Joint Secretary ,Resignation RASHID ATAN Joint Secretary,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:13PM,FGV-C37   ,Expiry/Maturity of the securities ,Expiry Maturity securities,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:22PM,FIHB   ,"41,200 shares purchased into treasury ",shares purchased into treasury,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:10PM,GAMUDA   ,DEALINGS IN LISTED SECURITIES (CHAPTER 14 OF LISTING REQUIREMENTS) ,DEALINGS LISTED SECURITIES CHAPTER LISTING REQUIREMENTS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
3:56PM,GDEX   ,GDEX - Notice of Book Closure ,GDEX Notice Book Closure,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:04PM,GDEX-CF   ,Expiry/Maturity of the securities ,Expiry Maturity securities,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:09PM,GENETEC   ,"CHEN KHAI VOON (60,000 units Disposed) ",CHEN KHAI VOON units Disposed,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:08PM,GENETEC   ,"CHEN KHAI VOON (60,000 units Disposed) ",CHEN KHAI VOON units Disposed,"Sentiment(polarity=0.0, subjectivity=0.0)",0
6:08PM,GENETEC   ,"KVC CORPORATION SDN BHD (60,000 units Disposed) ",CORPORATION units Disposed,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:37PM,GENETEC   ,NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) ,ISSUE SECURITIES CHAPTER LISTING REQUIREMENTS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:08PM,GENM   ,Renaming of Audit Committee to Audit and Risk Management Committee ,Renaming Audit Committee Audit Risk Management Committee,"Sentiment(polarity=0.0, subjectivity=0.0)",0
5:06PM,GENM   ,OTHERS ,OTHERS,"Sentiment(polarity=0.0, subjectivity=0.0)",0
